,comment_body,page_id,post_id,user_id
24,บิ๊กซีป่าแดด? บิ๊กซีแม่เหียะรึป่าวค่ะ😂😂,366743047016721,387766624666267_1376755972433989,856488381069941
25,Ployploy Phoommarat ร้านอยู่แถวบ้านโนอะน่าไปไหม?,366743047016721,387766624666267_1376755972433989,791472380917819
26,ชมพูอีกแล้วก้มาา Natthaporn Thainoi Nook Chutipa Ronnachai Canny Jirapa PuiPhye Wonglumduan Korarit Chanrittisen Jatturong Saejang,366743047016721,387766624666267_1376755972433989,10203264051193231
27,อุ้ยย,366743047016721,387766624666267_1376755972433989,10205707020381016
28,Pradit sittinuan พาไปหน่อย,366743047016721,387766624666267_1376755972433989,1614678285455897
29,น่าไป😘,366743047016721,387766624666267_1376755972433989,106117886577231
30,มีแต่ร้านสีชมพู😍,366743047016721,387766624666267_1376755972433989,10203465903505364
31,Nthnc Nv ชอบมะ ชมพูๆๆๆ/,366743047016721,387766624666267_1376755972433989,1004080739605519
32,Prem Seven Fold,366743047016721,387766624666267_1376755972433989,360759364048811
33,Mo Tuntaruchที่จะไปอะะ,366743047016721,387766624666267_1376755972433989,822774174454704
34,ไปปปปปปปปมะใดดีงับ,366743047016721,387766624666267_1376755972433989,1513519462237354
35,Ying Monty  add to our list.,366743047016721,387766624666267_1376755972433989,724479074291282
36,ไม่ใช่คิตตี้แต่รู้สึกเหมือนอ้อควรได้เช็คอิน ต้นอ้อ ต้นเล็ก เล็ก 😊😊,366743047016721,387766624666267_1376755972433989,1421170111533863
37,มึง Mew Jantarat ทำไมเราไมเข้าไปข้างในนนนน,366743047016721,387766624666267_1376755972433989,10203573938845861
38,Aey Natnicha. มีสิ่งดีๆมานำเสนอ,366743047016721,387766624666267_1376755972433989,872551722801370
39,Aem Nakthong ร้านใหม่อีกละซิสสสส,366743047016721,387766624666267_1376755972433989,707667682612116
40,Chalisa Paiyarom มึงเนี่ยยอยากถ่ายรูปฟรุ้งฟริ้ง,366743047016721,387766624666267_1376755972433989,792897950728998
41,Tan Anusri  น่ารักง่าาา ไปๆๆๆ,366743047016721,387766624666267_1376755972433989,209007442829940
42,Grace Tanatcha แถวแม่เหี่ยะะ สนม่ะะะ 55555,366743047016721,387766624666267_1376755972433989,809850802406041
43,.,366743047016721,387766624666267_1376755972433989,681459728638220
44,Aom Tira ร้านนี้ นี่ เองงง ~,366743047016721,387766624666267_1376755972433989,10205385132922293
45,Pania Tani โอ้ยมีแต่สีชมพู,366743047016721,387766624666267_1376755972433989,791251130899687
46,Mllr' Koon จะเปนเบาหวานไหม,366743047016721,387766624666267_1376755972433989,10205025399132410
47,Eye Banthita เหมือนร้านนี้จะอยู่ไกลหน่อย,366743047016721,387766624666267_1376755972433989,855920211137324
48,อยากไปกิน อยากไปถ่ายรูปป   Natapat B Boss😉,366743047016721,387766624666267_1376755972433989,1589897701284111
